Laser id	Elevation	Azimuth
1	15.08	-1.042
2	11.23	-1.042
3	8.257	-1.042
4	5.255	-1.042
5	3.238	-1.042
6	2.226	-1.042
7	2.058	1.042
8	1.886	3.125
9	1.72	5.208
10	1.549	-5.208
11	1.382	-3.125
12	1.211	-1.042
13	1.044	1.042
14	0.873	3.125
15	0.706	5.208
16	0.535	-5.208
17	0.367	-3.125
18	0.198	-1.042
19	0.029	1.042
20	-0.139	3.125
21	-0.31	5.208
22	-0.477	-5.208
23	-0.647	-3.125
24	-0.815	-1.042
25	-0.986	1.042
26	-1.153	3.125
27	-1.324	5.208
28	-1.49	-5.208
29	-1.662	-3.125
30	-1.83	-1.042
31	-2	1.042
32	-2.167	3.125
33	-2.338	5.208
34	-2.502	-5.208
35	-2.675	-3.125
36	-2.842	-1.042
37	-3.012	1.042
38	-3.177	3.125
39	-3.35	5.208
40	-3.514	-5.208
41	-3.686	-3.125
42	-3.852	-1.042
43	-4.023	1.042
44	-4.187	3.125
45	-4.36	5.208
46	-4.522	-5.208
47	-4.694	-3.125
48	-4.859	-1.042
49	-5.031	1.042
50	-5.193	3.125
51	-5.367	5.208
52	-5.528	-5.208
53	-5.7	-3.125
54	-5.863	-1.042
55	-6.865	-1.042
56	-7.861	-1.042
57	-8.862	-1.042
58	-9.847	-1.042
59	-10.834	-1.042
60	-11.808	-1.042
61	-12.776	-1.042
62	-13.732	-1.042
63	-18.691	-1.042
64	-24.699	-1.042
