Laser id,Elevation,Azimuth
1,14.814,-1.042
2,10.964,-1.042
3,7.991,-1.042
4,4.989,-1.042
5,2.972,-1.042
6,1.96,-1.042
7,1.792,1.042
8,1.62,3.125
9,1.454,5.208
10,1.283,-5.208
11,1.116,-3.125
12,0.945,-1.042
13,0.778,1.042
14,0.607,3.125
15,0.44,5.208
16,0.269,-5.208
17,0.101,-3.125
18,-0.068,-1.042
19,-0.237,1.042
20,-0.405,3.125
21,-0.576,5.208
22,-0.743,-5.208
23,-0.913,-3.125
24,-1.081,-1.042
25,-1.252,1.042
26,-1.419,3.125
27,-1.59,5.208
28,-1.756,-5.208
29,-1.928,-3.125
30,-2.096,-1.042
31,-2.266,1.042
32,-2.433,3.125
33,-2.604,5.208
34,-2.768,-5.208
35,-2.941,-3.125
36,-3.108,-1.042
37,-3.278,1.042
38,-3.443,3.125
39,-3.616,5.208
40,-3.78,-5.208
41,-3.952,-3.125
42,-4.118,-1.042
43,-4.289,1.042
44,-4.453,3.125
45,-4.626,5.208
46,-4.788,-5.208
47,-4.96,-3.125
48,-5.125,-1.042
49,-5.297,1.042
50,-5.459,3.125
51,-5.633,5.208
52,-5.794,-5.208
53,-5.966,-3.125
54,-6.129,-1.042
55,-7.131,-1.042
56,-8.127,-1.042
57,-9.128,-1.042
58,-10.113,-1.042
59,-11.1,-1.042
60,-12.074,-1.042
61,-13.042,-1.042
62,-13.998,-1.042
63,-18.957,-1.042
64,-24.965,-1.042
