Laser id	Elevation	Azimuth
1	14.979	-1.042
2	11.129	-1.042
3	8.156	-1.042
4	5.154	-1.042
5	3.137	-1.042
6	2.125	-1.042
7	1.957	1.042
8	1.785	3.125
9	1.619	5.208
10	1.448	-5.208
11	1.281	-3.125
12	1.110	-1.042
13	0.943	1.042
14	0.772	3.125
15	0.605	5.208
16	0.434	-5.208
17	0.266	-3.125
18	0.097	-1.042
19	-0.072	1.042
20	-0.24	3.125
21	-0.411	5.208
22	-0.578	-5.208
23	-0.748	-3.125
24	-0.916	-1.042
25	-1.087	1.042
26	-1.254	3.125
27	-1.425	5.208
28	-1.591	-5.208
29	-1.763	-3.125
30	-1.931	-1.042
31	-2.101	1.042
32	-2.268	3.125
33	-2.439	5.208
34	-2.603	-5.208
35	-2.776	-3.125
36	-2.943	-1.042
37	-3.113	1.042
38	-3.278	3.125
39	-3.451	5.208
40	-3.615	-5.208
41	-3.787	-3.125
42	-3.953	-1.042
43	-4.124	1.042
44	-4.288	3.125
45	-4.461	5.208
46	-4.623	-5.208
47	-4.795	-3.125
48	-4.96	-1.042
49	-5.132	1.042
50	-5.294	3.125
51	-5.468	5.208
52	-5.629	-5.208
53	-5.801	-3.125
54	-5.964	-1.042
55	-6.966	-1.042
56	-7.962	-1.042
57	-8.963	-1.042
58	-9.948	-1.042
59	-10.935	-1.042
60	-11.909	-1.042
61	-12.877	-1.042
62	-13.833	-1.042
63	-18.792	-1.042
64	-24.800	-1.042
