Laser id	Elevation	Azimuth
1	14.542563	-0.988483
2	10.778217	-0.977339
3	7.839917	-0.989631
4	4.872928	-0.978339
5	2.980865	-0.960747
6	1.960846	-0.971237
7	1.772839	1.099945
8	1.601593	3.170765
9	1.443732	5.26238
10	1.233174	-5.170731
11	1.075462	-3.042032
12	0.951566	-0.976236
13	0.766515	1.096323
14	0.595076	3.164081
15	0.441788	5.258603
16	0.226397	-5.174867
17	0.063289	-3.049496
18	-0.059396	-0.977823
19	-0.239293	1.097948
20	-0.414286	3.16829
21	-0.565614	5.259262
22	-0.774968	-5.170224
23	-0.939005	-3.048626
24	-1.067295	-0.982857
25	-1.242284	1.097912
26	-1.417647	3.164303
27	-1.569359	5.25932
28	-1.774471	-5.169858
29	-1.946191	-3.054528
30	-2.072142	-0.981626
31	-2.252439	1.09981
32	-2.423212	3.163582
33	-2.579671	5.261096
34	-2.776397	-5.1642
35	-2.95023	-3.054977
36	-3.07719	-0.980336
37	-3.258489	1.10326
38	-3.427529	3.168596
39	-3.589734	5.269337
40	-3.779908	-5.160309
41	-3.954866	-3.05324
42	-4.083638	-0.976653
43	-4.280296	1.111882
44	-4.437933	3.173358
45	-4.609086	5.278206
46	-4.794523	-5.150907
47	-4.967898	-3.052136
48	-5.099897	-0.964425
49	-5.290617	1.114527
50	-5.453937	3.183527
51	-5.625475	5.287199
52	-5.807723	-5.151306
53	-5.985248	-3.048813
54	-6.11896	-0.957368
55	-7.041458	-0.95832
56	-8.052814	-0.964408
57	-9.043763	-0.961053
58	-10.041367	-0.967828
59	-11.020022	-0.964471
60	-12.002742	-0.963727
61	-12.97888	-0.955236
62	-13.95355	-0.959334
63	-18.893193	-0.959906
64	-24.992836	-0.972664
